2758	See Afro-Latin American, though I would personally merge that artiucle and this one,	Podívejme se na Afro - Latinskou Ameriku , I když bych osobně spojil tuhle a tuhle ,	[0, 0, 1]	NOT
9845	Are you one of the 74 stalkers watching my talkpage? Why?!	Jsi jeden z 74 sledovatelů , kteří sledují mou stránku ? Proč ? !	[0, 1, 0]	NOT
38	I believe we now have a fully-referenced article.	Domnívám se , že nyní máme plně odkazovaný článek .	[0, 0, 0]	NOT
9117	FUCK YOU, GO SUCK SOME DOG COCK! YOU FUCKING DICK LICKERS!	Do prdele , pojď sehnat nějakou děvku , ty seš děvka !	[1, 1, 1]	ERR
7915	NARS, SnePS and polyscheme seem to be among the more advanced projects not yet listed on this page.	NARS , SnePS a polyscheme se zdá být mezi pokročilejšími projekty , které ještě nejsou uvedeny na této stránce .	[0, 0, 0]	NOT
9017	Not that I care because she is still smoking hot and I want to tit fuck her and cum on her face.	Ne , že by mě to zajímalo , protože pořád kouří horko a já bych ji chtěl vykouřit a vykouřit na tváři .	[1, 1, 1]	ERR
5103	What? Just read this now. What? Please Fred, what is this about? How are these editors and what is there issue?	Prosím , Frede , o čem to je ? Jak jsou tihle editori a co to je problém ?	[0, 0, 3]	NOT
1296	please delete my account i dont respect wikipedia anymore. suck ittttttt!!!!	Prosím , vymazat můj účet I dont respektovat wikipedia více . suck Wwwttttt ! ! ! !	[1, 0, 1]	ERR
6017	YOU ARE A FAT, GEEKY PRICK WHO HAS NOTHING TO DO ON A WEEKEND BUT MONITOR WIKIPEDIA. I HOPE YOU SUFFOCATE UNDER YOUR OWN SADNESS.	Jsi dědeček , úchylný hajzl , který nemá na víkendu nic jiného , než pozorovatele WIKIPEDIA .	[1, 1, 1]	ERR
8573	Also just noticed that you edited my userpage to add contributions. Thanks, my pet! *glomples*	Také jsem si všiml , že jste upravili moji uživatelskou stránku , abyste přidali příspěvky . Díky , můj mazlíček ! *glomples*	[0, 0, 0]	NOT
4951	Man, you are another wikitard aren't you. What pusses.	Ty jsi další wikitard , že ?	[1, 1, 1]	ERR
2823	preferi'm gonna keep vandaling as much as it want especially your pageto	preferi budu pokračovat v vandaling tak moc , jak to chce , zejména vaše stránky na	[3, 1, 1]	ERR
2392	whole nickers comment, you deserved it for being so stupid	celý nickers komentář , sis to zasloužil za to , že jsi tak hloupý	[0, 0, 0]	NOT
8485	Sales Why isnt the fact that they are the 3rd best selling hip hop/rap act of all time(only beaten by 2pac and eminem) here.	Prodej Proč není skutečnost , že jsou třetím nejlepším prodejem hip hop / rap aktu všech dob ( pouze poražen 2pac a eminem ) zde .	[0, 0, 1]	NOT
6066	Please also be sure to cite a reliable source when you add or change information in any article. Thanks!	Ujistěte se také , že při přidání nebo změně informací v jakémkoliv článku uvedete spolehlivý zdroj . Děkujeme !	[0, 0, 0]	NOT
5102	go on with the map EHT and without a doubt put the contemporary borders, just like the British Empire. cheers	pokračovat s mapou EHT a bezpochyby dát současné hranice , stejně jako britská říše . zdravím	[0, 0, 0]	NOT
838	Indeed, that term was used in pubs in Bantry. The term	Ve skutečnosti se tento termín používal v hospodách v Bantry .	[0, 0, 1]	NOT
3615	My final statements in the discussion above show that I have been swayed by sources not listed here.	Moje závěrečné prohlášení z výše uvedené diskuse ukazují , že jsem byl ovlivněn zdroji , které zde nejsou uvedeny .	[0, 0, 0]	NOT
7077	Just curious, why did you remove my edits and additional reference from the Victoria Vox article? )	Jen mě zajímalo , proč jste odstranili mé úpravy a další odkaz z článku Victoria Vox ? )	[0, 0, 0]	NOT
2734	Wikipedia, Nazis controlling the flow of information.	Wikipedie , nacisté kontrolují tok informací .	[0, 0, 0]	NOT
682	then leave the fazlur rahman khan article the way it is. do not delete it.	pak opustit fazlur rahman Khan článek tak , jak to je . Nevymazat ho .	[0, 3, 0]	NOT
6786	I have added bold type to any major change to the Neve history.	Přidal jsem odvážný typ ke všem významným změnám v historii Neve .	[1, 1, 1]	ERR
8463	Oh, Is it not allowed to have twitter links? I see them everywhere for bio pages.	Oh , Není povoleno mít Twitter odkazy ? Vidím je všude na bio stránky .	[0, 0, 0]	NOT
8276	REDIRECT Talk:Sir Charles Nicholson, 1st Baronet, of Harrington Gardens	Přehled : Sir Charles Nicholson , 1 . baronát z Harrington Gardens	[0, 0, 1]	NOT
5001	than the puff piece used to support literally the entire edifice of the article	než ta látka , která doslova podpořila celý objekt článku	[0, 1, 0]	NOT
9483	How could Muhammad have been the author if he was illiterate?	Jak by mohl být Muhammad autorem , kdyby byl negramotný ?	[1, 0, 0]	NOT
6862	Just incase anyone is interested my favourite hobby is playing with other peoples cock'n'balls. Superb.	Jen pro případ , že by se někdo zajímal , můj oblíbený koníček je hrát s ostatními lidmi na kohoutky .	[1, 1, 0]	ERR
7873	Your conspiracy to distort and remove facts is noted	Vaše spiknutí se zkreslením a odstraněním skutečností je zaznamenáno	[0, 0, 0]	NOT
4742	REDIRECT Talk:Five points past Midnight in Bhopal	REDIRECT Talk : Pět bodů po půlnoci v Bhopalu	[0, 0, 0]	NOT
6455	Do not engage in edit warring by reverting pages more than 3 times. You may be blocked from editing.	Nebudete se angažovat v editaci války tím , že otáhnete stránky více než 3 krát . Můžete být od editace zablokováni .	[0, 0, 1]	NOT
3866	Note for clarification: by using an ISBN number, a link is automatically created that routes through the Special:BookSources tool.	Poznámka k objasnění : použitím čísla ISBN se automaticky vytvoří odkaz , který vede přes nástroj Special : BookSources .	[0, 0, 1]	NOT
4264	I did some searching online, and it turns out that the hymn is the preface to the Isavasya Upanishad, which is contained in the Yajur Veda.	Trochu jsem prohledal na internetu a ukázalo se , že hymn je předlohou Isavasya Upanishad , která je obsažena v Yajur Vede .	[0, 1, 0]	NOT
5847	Autosigned by SineBot apparently. I want to talk by phone to someone who has authority. Is that you?	Autosignován SineBotem zřejmě . Chci mluvit telefonicky s někým , kdo má autoritu .	[0, 0, 1]	NOT
4105	Hey, it's deja vu all over again! Robert can you clarify the latest version of your DNI proposal so that I can review it finally. Best regards,	Hej , je to deja vu znovu ! Robert můžete vyjasnit poslední verzi vašeho návrhu DNI , abych ho mohl přezkoumat konečně .	[0, 0, 0]	NOT
6412	I've been here a few months too. Thank you for the welcome, though. Maybe I should update my user page...	Už jsem tu pár měsíců . Díky za přivítání , ale možná bych měla aktualizovat svou uživatelskou stránku . . .	[0, 0, 0]	NOT
1953	Sue, do take symbolic action as soon as u read my above message as it is totally unacceptable. Best regards. Bye, till tomorrow.	Sue , udělej symbolické kroky , jakmile si přečteš mou výše uvedenou zprávu , protože je naprosto nepřijatelné .	[0, 1, 1]	ERR
7397	Graduation earns a Krannert MBA, plus a German MBA from LUH.	Po ukončení studia získává Krannert MBA , plus německý MBA z LUH .	[0, 0, 0]	NOT
6777	who the hell are you. you know nothing kid. your just a gma fanatic	Kdo to sakra jsi , nic nevíš , chlapče . Jsi jen gma fanatik .	[0, 0, 0]	NOT
6512	in many jurisdictions they are completely unlicenced,	v mnoha jurisdikcích jsou zcela bezlicenční ,	[0, 0, 0]	NOT
9210	Movie Gallery you might find this article interesting. [URL]	Filmová galerie by vám mohla přinést zajímavý článek . [ URL ]	[0, 0, 0]	NOT
5161	Here is his Facebook wall where you can keep up with him. [URL]	Tady je jeho Facebook stěna , kde si můžete udržet krok s ním . [ URL ]	[1, 0, 0]	NOT
7898	Funny stuff. Really funny stuff. Maybe the funniest stuff all year. Have fun editing master Admin. Cheers.	Zvláštní věci . Opravdu zábavné věci . Možná nejzajímavější věci za celý rok .	[0, 0, 1]	NOT
4165	I do think that his very valid point was made though, and unfortunately, it probably couldn't have been done any other way.	Ale myslím , že jeho velmi platný názor byl vyjádřen , a bohužel to nebylo možné udělat jinak .	[0, 0, 0]	NOT
9043	As I work nights, I will be going to sleep soon. Goonight everyone - even tom!	Když budu pracovat v noci , brzy budu spát . Goonight všichni - dokonce Tom !	[0, 0, 0]	NOT
8987	Algebra Problem Solving I need some of mathematical problem, to be solve. So that i can practice on my own.	Algebra Řešení problémů Potřebuji některé matematické problémy , být vyřešeny . Abych mohl trénovat sám .	[0, 0, 0]	NOT
393	They are known as Palestinian because of Arab propaganda. Real Palestinians are Jews. Arab Palestinians are frauds from Arabia.	Jsou známi jako Palestinci kvůli arabské propagandě . Skuteční Palestinci jsou Židé . Arabští Palestinci jsou podvody z Arábie .	[0, 0, 0]	NOT
4143	He's notable? Then there's no justification for deletion. Please fix the POV aspects then.	Pak neexistuje žádné odůvodnění pro odstranění . Prosím , opravte tedy POV aspekty .	[0, 0, 1]	NOT
1749	Scouts]], a youth wing of the Hezbollah in southern Lebanon. The really interesting thing is, outwardly, they look very much like traditional	Scouts ] ] , mládežnické křídlo Hezbollah v jižním Libanonu . Opravdu zajímavé je , že venku vypadají velmi podobně jako tradiční	[1, 1, 0]	ERR
9226	REDIRECT Talk:Dungeons & Dragons–related products	REDIRECT Talk : Dungeons & Dragons – související produkty	[0, 0, 0]	NOT
6843	Simon Mills is pretty gay. It regularly takes it in the anus.	Simon Mills je docela gay , pravidelně ho bere do análního otvoru .	[0, 0, 0]	NOT
3419	Sorry, it is no common practice for publishers in Vietnam to assign ISBNs for their books. So I can't find any ISBN for Tôtem sói.	Promiňte , není běžnou praxí pro vydavatele ve Vietnamu přidělit ISBN pro jejich knihy . Takže nemůžu najít žádný ISBN pro Tôtem sói .	[0, 0, 0]	NOT
9422	Feel free to ask me questions. I'm new! But I know not too much about Wikipedia!	Jsem nový ! Ale nevím příliš mnoho o Wikipedii !	[0, 0, 0]	NOT
8682	Yeah, like the fact that he is gay; I mean, he was in a boyband for Christ ́s sake... whaaaaat a homo.	Jo , jako fakt , že je gay ; Myslím tím , že byl v chlapecké kapele pro Kristovy rány . . . whaaaaat homo .	[0, 0, 0]	NOT
5667	Editsemiprotected Adam copeland I need to edit this page!	Editsemiprotected Adam copeland Potřebuji upravit tuto stránku !	[0, 0, 1]	NOT
1458	Does anyone know why this guy is so little known? There appears to be nothing on him apart from the MERLIN project.	Ví někdo , proč je toho chlápka tak málo známo ? Zdá se , že na něm není nic kromě projektu MERLIN .	[0, 0, 0]	NOT
1493	How sad that no editors will even seriously discuss these legitimate criticims. Having the article locked is ridiculous.	Jak smutné , že žádný redaktor nebude dokonce vážně diskutovat o těchto legitimních kritikách .	[1, 0, 0]	NOT
3734	Dom Brown Why have you listed Dom Brown as an official member of Duran Duran, when he clearly is not?	Dom Brown Proč jste jmenoval Doma Browna oficiálním členem Duran Duran , když to zjevně není ?	[0, 0, 0]	NOT
8224	In fact, would anyone object to my changing of the apostrophe's status on these pages (id est, making it go away)?	Vlastně by se někdo vyjádřil proti mé změně statusu apostrofy na těchto stránkách ( id est , aby to zmizelo ) ?	[0, 0, 0]	NOT
4612	OrphanBot]]. For assistance on the image use policy, see Wikipedia:Media copyright questions. 14:12,	OrphanBot ] ] . Pro pomoc v politice používání obrázku viz Wikipedia : Otázky týkající se autorského práva na média . 14 : 12 ,	[0, 0, 0]	NOT
2137	fuck you, cunt - contact whomever the fuck you want.	Kurva , děvko - kontaktuj kohokoliv , koho chceš .	[1, 1, 1]	ERR
4609	He had a show on mtv too...it was fuckin hilarious	Měl taky show na mtv . Bylo to kurva vtipné .	[0, 0, 0]	NOT
4413	Headlines == Im testing something == Something about the headlines? Headlines.	Hlavní zprávy == Něco testuji == Něco o hlavních zprávách ?	[0, 0, 0]	NOT
3727	Yer all a bunch of wankers! pppptttthhhh! nipple...	To je banda šílenců ! pppptttthhhh !	[0, 1, 1]	ERR
9539	I take it it means her grandmother's sister, but could be better worded.	Myslím , že to znamená sestru její babičky , ale dalo by se to lépe vyjádřit .	[0, 0, 0]	NOT
3387	this user believes calgarians subscribe to the concept of Prongerphysics	tento uživatel věří , že Calgarians se připojit k pojetí Prongerphysics	[0, 0, 2]	NOT
1341	Call 'em like you see 'em is refreshing around here.	Zavolej jim , jak vidíš , je tu osvěžující .	[1, 0, 0]	NOT
